201301ID60005,2505114,M4
201301ID60009,2505114,M4
201301ID60021,2505114,M4
201301ID60033,2505114,M4
201301ID60037,2578104,M4
201301ID60042,2505114,M4
201301JI40007,2536154,M11
201301JI40034,2536429,M11
201301JI40052,2536154,M11
201301JI40056,2536154,M11
201301JI40062,2536154,M11
201301JI40065,2536154,M11
201301JI40100,2536154,M11
201301JI40114,2536154,M11
201301JI40117,2536429,M11
201301JI40131,2536154,M11
201301JI40137,2536154,M11
201301JI40160,2536154,M11
201301JI40162,2536154,M11
201301JI40166,2536154,M11
201301JI40184,2536154,M11
201301JI40188,2536154,M11
201301JI40201,2536154,M11
201301JI40207,2536154,M11
201301JI40209,2536154,M11
201301JI40210,2536154,M11
201301JI40220,2536154,M11
201301JI40232,2536154,M11
201301JI40266,2536154,M11
201301JI40270,2536154,M11
201301JI40282,2536154,M11
201301JI40288,2536154,M11
201301JI40291,2536154,M11
201301JI40304,2536154,M11
201301JI40314,2536154,M11
201301JI40315,2536154,M11
201301JI40318,2536199,M11
201301JI40322,2536154,M11
201301JI40329,2536154,M11
201301JI40333,2536429,M11
201301JI40354,2536429,M11
201301JI40355,2536154,M11
201301JI40357,2536199,M11
201301JI40359,2536154,M11
201301JI40389,2536154,M11
201301JI40398,2536429,M11
201301JI40420,2536199,M11
201301JI40438,2536154,M11
201301JI40440,2536199,M11
201301JI40454,2536154,M11
201301JI40461,2536154,M11
201301JI40468,2536154,M11
201301JI40469,2536154,M11
201301JI40474,2536154,M11
201301JI40493,2536429,M11
201301JI40514,2536199,M11
201301JI40576,2536154,M11
201301JI40581,2536154,M11
201301JI40616,2536154,M11
201301JI40620,2536154,M11
201301JI40631,2536429,M11
201301JI40634,2536429,M11
201301JI40649,2536429,M11
201301JI40652,2536199,M11
201301JI40653,2536154,M11
201301JI40656,2536154,M11
201301JI40681,2536429,M11
201301JI40685,2536154,M11
201301JI40689,2536429,M11
201301JI40704,2536429,M11
201301JI40707,2536154,M11
201301JI40713,2536154,M11
201301JI40728,2536154,M11
201301JI40729,2536154,M11
201301JI40743,2536154,M11
201301JI40759,2536154,M11
201301JI40778,2536429,M11
201301JI40788,2536154,M11
201301QA10398,2562528,M1
201301SX20192,2562528,M1
201301SX20233,2562528,M1
201301SX20624,2562528,M1
201301SX20837,2562528,M1
201301TA00036,2579380,M25
201301TD00100,2576271,M25
201301TD00134,2579380,M25
201301TX20004,2572315,M4
201301TX20016,2577825,M4
201301TX20025,2340235,M4
201301TX20049,2572315,M4
201301TX20064,2340235,M4
201301TX20078,2572315,M4
201301TX20082,2572315,M4
201301TX20084,2572315,M4
201301TX20097,2577825,M4
201301TX20108,2578105,A30
201301TX20112,2577828,M4
201301TX20113,2572315,M4
201301TX20120,2577825,M4
201301TX20125,2572315,M4
201301TX20133,2340235,M4
201301TX20141,2340235,M4
201301TX20157,2578105,A30
201301TX20169,2572315,M4
201301TX20172,2577828,M4
201301TX20176,2572315,M4
201301TX20220,2578105,A30
201301TX20244,2577825,M4
201301TX20252,2572315,M4
201301TX20269,2572315,M4
201301TX20273,2572315,M4
201301TX20281,2572315,M4
201301TX20313,2572315,M4
201301TX20318,2572315,M4
201301TX20319,2578105,A30
201301TX20332,2577825,M4
201301TX20334,2577825,M4
201301TX20341,2577825,M4
201301TX20345,2577825,M4
201301TX20380,2572315,M4
201301TX20384,2577825,M4
201301TX20386,2577825,M4
201301TX20411,2577825,M4
201301TX20429,2572315,M4
201301TX20433,2577825,M4
201301TX20454,2578105,A30
201301TX20457,2572315,M4
201301TX20459,2572315,M4
201301TX20463,2572315,M4
201301TX20465,2578105,A30
201301TX20466,2577825,M4
201301TX20487,2572315,M4
201301TX20492,2577825,M4
201301TX20495,2572315,M4
201301TX20506,2572315,M4
201301TX20507,2572315,M4
201301TX20515,2572315,M4
201301TX20518,2577919,M4
201301TX20526,2572315,M4
201301TX20533,2572315,M4
201301TX20551,2572315,M4
201301TX20555,2572315,M4
201301TX20561,2572315,M4
201301TX20577,2577828,M4
201301TX20578,2572315,M4
201301TX20581,2572315,M4
201301TX20590,2572315,M4
201301TX20594,2572315,M4
201301TX20632,2572315,M4
201301TX20642,2577825,M4
