reference_number,road,traffic_management
2354631,M40,Lane Closure
2354658,M40,Lane Closure
2446138,M40,Width Restriction
2446158,M40,Width Restriction
2469785,M40,Mobile Lane Closure
2525215,M40,Lane Closure
2525225,M40,Lane Closure
2552367,M40,Lane Closure
2553976,M40,Lane Closure
2545393,M42,Lane Closure
2478029,M45,Lane Closure
2097333,M50,Contraflow
2063779,M53,Lane Closure
2023206,M54,Lane Closure
2501947,M55,Lane Closure
2501957,M55,Lane Closure
630846,M56,Carriageway Closure
2336281,M56,Lane Closure
2337702,M56,Lane Closure
2493294,M56,Carriageway Closure
2493300,M56,Carriageway Closure
2493312,M56,Carriageway Closure
2509415,M56,Lane Closure
2574703,M56,Lane Closure
2061976,M57,Lane Closure
2502110,M57,Carriageway Closure
2503507,M57,Carriageway Closure
2503525,M57,Carriageway Closure
2503532,M57,Carriageway Closure
2503544,M57,Carriageway Closure
2503582,M57,Carriageway Closure
2503598,M57,Carriageway Closure
2503685,M58,Carriageway Closure
1600938,M60,Lane Closure
2063775,M60,Lane Closure
2063881,M60,Lane Closure
2336179,M60,Carriageway Closure
2336317,M60,Carriageway Closure
2336348,M60,Carriageway Closure
2339309,M60,Lane Closure
2339350,M60,Lane Closure
2339404,M60,Lane Closure
2339418,M60,Lane Closure
2339453,M60,Lane Closure
2339458,M60,Lane Closure
2419204,M60,Lane Closure
2461770,M60,Lane Closure
2467571,M60,Carriageway Closure
2483349,M60,Lane Closure
2497523,M60,Carriageway Closure
2550443,M60,Lane Closure
2579114,M60,None
2063774,M61,Lane Closure
2339284,M61,Lane Closure
2492974,M61,Carriageway Closure
2492995,M61,Carriageway Closure
2493006,M61,Carriageway Closure
2493021,M61,Carriageway Closure
2493070,M61,Carriageway Closure
2493082,M61,Carriageway Closure
2493092,M61,Carriageway Closure
2493113,M61,Carriageway Closure
2493229,M61,Lane Closure
213110,M62,Lane Closure
1269694,M62,Lane Closure
1479020,M62,Lane Closure
1751109,M62,Lane Closure
1751118,M62,Lane Closure
1958945,M62,Carriageway Closure
2254827,M62,Carriageway Closure
2254831,M62,Lane Closure
2339283,M62,Lane Closure
2442921,M62,Lane Closure
2442950,M62,Lane Closure
2442957,M62,Lane Closure
2442970,M62,Lane Closure
2497538,M62,Carriageway Closure
2497605,M62,Carriageway Closure
2497616,M62,Carriageway Closure
2497635,M62,Carriageway Closure
2497645,M62,Carriageway Closure
2497651,M62,Carriageway Closure
2497670,M62,Carriageway Closure
2497717,M62,Carriageway Closure
2497733,M62,Carriageway Closure
2497751,M62,Carriageway Closure
2497758,M62,Carriageway Closure
2497778,M62,Carriageway Closure
2497783,M62,Carriageway Closure
2497798,M62,Carriageway Closure
2510736,M62,Lane Closure
2510745,M62,Lane Closure
2510746,M62,Lane Closure
2519567,M62,Lane Closure
2531246,M62,Lane Closure
2536997,M62,Lane Closure
2537011,M62,Lane Closure
2543917,M62,Lane Closure
2543919,M62,Lane Closure
2543921,M62,Lane Closure
2564904,M62,Lane Closure
2061904,M65,Lane Closure
2063898,M65,Lane Closure
2266498,M65,Lane Closure
2503272,M66,Carriageway Closure
2503412,M66,Carriageway Closure
2503422,M66,Carriageway Closure
2519375,M66,Carriageway Closure
1374583,M180,Carriageway Closure
2199850,M180,Lane Closure
2427986,M271,Mobile Lane Closure
2339278,M602,Lane Closure
2339279,M602,Lane Closure
2247625,M606,Carriageway Closure
2335056,M621,Carriageway Closure
2335063,M621,Carriageway Closure
2335066,M621,Carriageway Closure
2335069,M621,Carriageway Closure
2335074,M621,Carriageway Closure
2335078,M621,Carriageway Closure
2335086,M621,Carriageway Closure
2335097,M621,Carriageway Closure
2335103,M621,Carriageway Closure
2335110,M621,Carriageway Closure
2335128,M621,Carriageway Closure
2335143,M621,Carriageway Closure
2335154,M621,Carriageway Closure
2335161,M621,Carriageway Closure
2335164,M621,Carriageway Closure
2335196,M621,Carriageway Closure
2335216,M621,Carriageway Closure
2335219,M621,Carriageway Closure
2335223,M621,Carriageway Closure
2335229,M621,Lane Closure
2335243,M621,Carriageway Closure
2335270,M621,Carriageway Closure
2303987,A1M,Carriageway Closure
2444029,A1M,Lane Closure
2444030,A1M,Lane Closure
2476516,A1M,Lane Closure with Switching
2476659,A1M,Lane Closure
2540315,A1M,Lane Closure
2558004,A1M,Lane Closure
2562701,A1M,Lane Closure
2562744,A1M,Lane Closure
2562833,A1M,Lane Closure
2428023,A3M,Mobile Lane Closure
2325314,A404M,Lane Closure
2537300,A404M,Lane Closure
2550992,A404M,Mobile Lane Closure
2536012,A627M,Carriageway Closure
2264056,A1,Convoy Working
2467912,A1,Lane Closure
2569612,A1,Lane Closure
2550939,A1,Lane Closure
2330602,A2,Carriageway Closure
2339706,A2,Lane Closure
2527025,A2,Lane Closure
2528411,A2,Lane Closure
1708535,A3,Carriageway Closure
2294373,A3,Carriageway Closure
2339811,A3,Width Restriction
2428028,A3,Mobile Lane Closure
2450436,A3,Carriageway Closure
2512282,A3,Lane Closure
2512677,A3,Convoy Working
2512736,A3,Convoy Working
2512746,A3,Convoy Working
2521250,A3,Lane Closure
2557152,A3,Mobile Lane Closure
1821850,A5,Lane Closure
1823057,A5,Lane Closure
1823293,A5,Lane Closure
1823401,A5,Lane Closure
2265432,A5,Traffic Signals
2305395,A5,Lane Closure
2450644,A5,Convoy Working
2577652,A5,None
1736621,A11,Speed Restriction
2320297,A11,Traffic Signals
2506081,A11,Lane Closure with Switching
2382349,A12,Lane Closure with Switching
2326696,A13,Lane Closure
2370086,A13,Carriageway Closure
2321676,A14,Width Restriction
2366007,A14,Carriageway Closure
2497816,A14,Carriageway Closure
2497847,A14,Carriageway Closure
2504852,A14,Width Restriction
2396872,A14,Lane Closure
2181583,A19,Lane Closure
2268516,A19,Carriageway Closure
2268535,A19,Carriageway Closure
2477859,A19,Lane Closure
1148293,A23,Lane Closure
2489326,A23,Lane Closure
1652918,A27,Lane Closure
2315939,A27,Carriageway Closure
2336666,A27,Carriageway Closure
2428051,A27,Mobile Lane Closure
2523995,A27,Mobile Lane Closure
2528156,A27,Lane Closure
2539403,A27,Carriageway Closure
2539426,A27,Carriageway Closure
2539428,A27,Carriageway Closure
2559618,A27,Lane Closure
2400374,A30,Lane Closure
2400445,A30,Lane Closure
2500431,A31,Lane Closure
2500437,A31,Lane Closure
2506580,A31,Convoy Working
2506659,A31,Carriageway Closure
2506661,A31,Carriageway Closure
2506664,A31,Carriageway Closure
2342902,A34,Lane Closure
2428036,A34,Mobile Lane Closure
2475689,A34,None
2558209,A34,Lane Closure
2296364,A35,Speed Restriction
