"2288764","M1","Leeds / Wakefield","Jct 41 to Jct 40","2013-06-19T08:10:00","2015-12-26T23:59:00","Slight (less than 10 mins)","M1 Jct 39 to Jct 42 Managed Motorway Scheme with various lane closures southbound, including narrow lanes and 50mph speed restriction.","Lane Closure","Planned Works","429455","422849","Firm","2013-08-23T01:35:32"
"2288769","M1","Wakefield","Jct 40 to Jct 39","2013-07-04T20:30:00","2016-02-19T23:59:00","Slight (less than 10 mins)","M1 Jct 39 to Jct 42 Managed Motorway Scheme with various lane closures and full closures southbound including hardshoulder running, narrow lanes & 50mph speed restriction.  Diversion routes in place.","Lane Closure","Planned Works","430825","418542","Firm","2013-08-23T10:38:19"
"2289030","M1","Rotherham / Sheffield / South Yorkshire","Jct 33 to Jct 34","2013-06-18T20:00:00","2013-11-25T23:59:00","Slight (less than 10 mins)","M1 Jct 32 to Jct 35a Managed Motorway Scheme (Central Reserve Works) with various lane closures and hardshoulder running northbound for C/R barrier works including narrow lanes and 50mph speed restriction.","Lane Closure","Planned Works","440679","389914","Firm","2013-07-19T12:45:14"
"2289036","M1","Barnsley / Rotherham / Sheffield / South Yorkshire","Jct 34 to Jct 35a","2013-06-20T20:00:00","2013-11-26T23:59:00","Slight (less than 10 mins)","M1 Jct 32 to Jct 35a Managed Motorway Scheme (Central Reserve Works) with various lane closures and hardshoulder running northbound including various slip road closures and narrow lanes and 50mph speed restriction.  Diversion routes in place.","Lane Closure","Planned Works","437138","394472","Firm","2013-08-12T05:30:30"
"2289064","M1","Rotherham / Sheffield / South Yorkshire","Jct 34 to Jct 33","2013-06-18T20:00:00","2013-11-26T06:00:00","Slight (less than 10 mins)","M1 Jct 32 to Jct 35a Managed Motorway Scheme (Central Reserve Works) with various lane closures southbound including various slip road closures, narrow lanes and 50mph speed restriction.  Diversion routes in place.","Lane Closure","Planned Works","440626","389978","Firm","2013-07-26T14:41:17"
"2289069","M1","Rotherham / South Yorkshire","Jct 33 to Jct 32","2013-06-17T21:00:00","2013-11-25T06:00:00","Slight (less than 10 mins)","M1 Jct 32 to Jct 35a Managed Motorway Scheme (Central Reserve Works) with various lane closures and hardshouler running southbound including narrow lanes and 50mph speed restriction.","Lane Closure","Planned Works","445904","389282","Firm","2013-08-01T13:48:05"
"2299202","M1","West Yorkshire","M1 southbound entry slip road JNc 44","2013-01-20T20:00:00","2013-11-26T06:00:00","Slight (less than 10 mins)","M1 southbound entry slip road JNc 44 closed for general maintenance","Carriageway Closure","Planned Works","433712","429791","Firm","2013-08-01T14:38:15"
"2299708","M1","West Yorkshire","M1 southbound entry slip road JNc 44","2013-01-20T20:00:00","2013-11-26T06:00:00","Slight (less than 10 mins)","M1 southbound entry slip road JNc 45 and northbound on slip closed for general maintenance","Carriageway Closure","Planned Works","434892","431103","Firm","2013-08-01T14:40:28"
"2306968","M1","Leeds / West Yorkshire","M1 southbound entry slip road JNc 46","2013-03-18T20:00:00","2013-11-26T06:00:00","Slight (less than 10 mins)","M1 southbound entry slip road JNc 46 and northbound on slip closed for general maintenance","Carriageway Closure","Planned Works","438036","432883","Firm","2013-08-01T14:42:27"
"2318783","M1","West Yorkshire","M1 Jnc 47 slip roads","2013-03-18T20:00:00","2013-11-26T06:00:00","Slight (less than 10 mins)","M1 Jnc 47 slip roads closed for general maintenance","Carriageway Closure","Planned Works","442237","434599","Firm","2013-08-01T14:43:29"
"2391312","M1","Barnsley / Sheffield","Jct 35a to Jct 35","2013-09-02T00:00:00","2013-12-01T00:00:00","Slight (less than 10 mins)","M1 Jct 35a (Hood Hill Pier) Bridge refurbishment scheme (746) with lane closures northbound.","Lane Closure","Planned Works","436164","397444","Provisional","2013-02-28T07:35:53"
"2398237","M1","Leicestershire","Jct 21 (220276)","2013-09-05T20:00:00","2013-10-13T23:00:00","Slight (less than 10 mins)","Lane 1 closure with 50 mph speed limit north and southbound 2000-2300 hrs due to bridge repairs.","Lane Closure","Planned Works","453987","302382","Firm","2013-08-15T14:56:33"
"2415770","M1","Leicestershire","Jct 20 to Jct 21  (211275)","2013-08-29T21:00:00","2013-09-04T06:00:00","Slight (less than 10 mins)","Carriageway closure with hardshoulder running northbound or hardshoulder, lane 1 & 2 closure northbound with a 50 mph speed resriction for the duration of the works 2100-0600 hrs due to resurfacing.","Carriageway Closure","Planned Works","455128","296445","Firm","2013-08-22T15:29:38"
"2418669","M1","Northamptonshire","Jct 15 (211277)","2013-09-09T20:00:00","2013-09-30T06:00:00","Slight (less than 10 mins)","Entry sliproad closure plus lane 1 closure on main carriageway southbound 2000-0600 hrs due to resurfacing.","Carriageway Closure","Planned Works","475927","254493","Firm","2013-08-19T14:57:43"
"2419072","M1","Northamptonshire","Jct 15 (211276)","2013-09-09T20:00:00","2013-09-30T06:00:00","Slight (less than 10 mins)","Entry sliproad closure plus lane 1 closure on main carriageway southbound 2000-0600 hrs due to white lining.","Carriageway Closure","Planned Works","475927","254493","Firm","2013-08-19T14:53:01"
"2426148","M1","Leicestershire","Jct 21 (******)","2013-09-09T20:00:00","2013-10-07T06:00:00","Slight (less than 10 mins)","Carriageway closure southbound 2000-0600 hrs due to resurfacing.","Carriageway Closure","Planned Works","454214","301951","Firm","2013-08-15T10:49:12"
"2489152","M1","Leeds / West Yorkshire","Jct 42","2013-07-20T19:20:00","2013-08-30T06:00:00","Slight (less than 10 mins)","M1 Jct 42 Lofthouse LNMS Safety (3785, 3575, 3342 & 3278) for HF surfacing, road markings and road signs with various lane closures and full slip road closures including partial closures of the roundabout.  Diversion routes in place.","Carriageway Closure","Planned Works","431945","426256","Firm","2013-08-23T08:59:16"
"2500240","M1","Leicestershire","Jct 19","2013-07-01T07:27:00","2014-07-01T18:00:00","Slight (less than 10 mins)","Hardshoulder closure north and southbound 0600-1800 hrs due to horticultural works.","Lane Closure","Planned Works","456128","278722","Firm","2013-08-09T13:36:58"
"2545266","M1","Bedfordshire","Jct 13 to Jct 11","2013-07-22T21:30:00","2013-08-29T05:00:00","Slight (less than 10 mins)","Lane closure southbound 2200 - 0500 hrs due to major works","Lane Closure","Planned Works","503056","228698","Firm","2013-08-23T04:25:32"
"2562528","M1","Barnet","Jct 4","2013-08-14T22:07:00","2013-09-03T05:00:00","Slight (less than 10 mins)","2200-0500hrs, lane 1 closure southbound, for barrier works","Lane Closure","Emergency Works","517849","194309","Firm","2013-08-23T05:14:49"
"2563983","M1","Barnet / Hertfordshire","Jct 5 Entry slip","2013-09-09T22:00:00","2013-09-10T05:00:00","Moderate (10 - 30 mins)","22:00hrs to 05:00hrs: Entry slip road closure northbound for routine maintenance. Diversion to Jct 4 and return.","Carriageway Closure","Planned Works","513074","198059","Firm","2013-08-07T12:47:53"
"2563997","M1","Hertfordshire","Jct 5 Exit slip","2013-09-09T22:00:00","2013-09-10T05:00:00","Moderate (10 - 30 mins)","23:00hrs to 05:00hrs: Exit slip road closure northbound for routine maintenance. Diversion to Jct 6 and return.","Carriageway Closure","Planned Works","513074","198059","Firm","2013-08-07T13:00:08"
"2564103","M1","Hertfordshire","Jct 4 to Jct 6","2013-09-09T22:00:00","2013-09-10T05:00:00","Slight (less than 10 mins)","22:00hrs to 05:00hrs: Lane 1 and 2 closure, northbound for routine maintenance.","Lane Closure","Planned Works","512728","198397","Firm","2013-08-07T14:26:53"
"2528534","M2","Kent","East & Westbound between Jct 3 & 4","2013-09-02T20:00:00","2013-09-16T06:00:00","Slight (less than 10 mins)","Investigations, Nightworks, East & Westbound, Lane 1 closures","Lane Closure","Planned Works","580014","162798","Provisional","2013-07-17T13:56:02"
"2529542","M2","Kent","Eastbound between Jct 2 & 3","2013-09-09T20:00:00","2013-09-16T06:00:00","Slight (less than 10 mins)","Investigations, Nightworks, Eastbound, Lane 1 closure","Lane Closure","Planned Works","573317","166042","Provisional","2013-07-04T10:02:52"
"2048707","M3","Hampshire","Jct 4a to 5 (Mp 62/0 to 66/7) N&S Bound","2013-09-01T22:00:00","2014-09-13T06:00:00","Moderate (10 - 30 mins)","Narrow Lanes  50mph 24 hours Structures Scheme","Other","Planned Works","475609","154486","Provisional","2013-08-12T15:39:13"
"2240295","M3","Hampshire / Surrey","Jct 3 to 4 (MP 48/7 to 49/3) south bound","2013-02-25T03:50:00","2013-09-01T06:00:00","Slight (less than 10 mins)","Hardshoulder Closure 24hrs crossover improvements","Lane Closure","Planned Works","489303","160376","Firm","2013-07-02T14:27:15"
"2301299","M3","Hampshire","behind Valley end... M3 crossing","2013-04-01T00:00:00","2014-03-31T23:59:00","No Delay","TO RELAY 260 METERS OF OLD DRINKING WATER MAIN.","None","Planned Works","475000","153952","Provisional","2013-05-01T11:15:18"
"2344174","M3","Hampshire","Jct 4a - 5 (Mp 66/0 to 68/1) South bound","2013-09-05T22:00:00","2013-09-28T06:00:00","Slight (less than 10 mins)","Lane closures 2200 to 0600 carriageway resurfacing","Lane Closure","Planned Works","473241","153196","Provisional","2013-01-17T17:13:57"
"2344177","M3","Hampshire","Jct 5 Off slip South bound","2013-09-05T22:00:00","2013-11-28T06:00:00","Slight (less than 10 mins)","Lane closures 2200 to 0600 carriageway resurfacing","Lane Closure","Planned Works","472955","153076","Provisional","2013-01-17T17:17:22"
"2427937","M3","Hampshire","whole length north and south  bound","2013-05-03T22:30:00","2013-12-21T05:30:00","Slight (less than 10 mins)","MLc 2130 to 0530 prism signs","Mobile Lane Closure","Planned Works","465297","151350","Firm","2013-08-24T02:27:31"
"2430048","M3","Hampshire / Surrey","Jct 4a to 2 (Mp 58/4 to 31/0) North Bound","2013-09-09T22:00:00","2013-11-03T06:00:00","Moderate (10 - 30 mins)","Hardshoulder Running 50mph Prelim Works","Lane Closure","Planned Works","491060","162132","Provisional","2013-08-22T15:08:20"
"2430055","M3","Hampshire / Surrey","Jct 2 to 4a  (Mp 31/0 to 58/4) South Bound","2013-09-09T22:00:00","2013-11-16T06:00:00","Moderate (10 - 30 mins)","Hardshoulder Running 50mph Prelim Works","Lane Closure","Planned Works","491060","162132","Provisional","2013-08-22T15:06:37"
"2472329","M3","Hampshire","Jct 4a - Jct 8 (Mp 55/5 59/5) Eastbound.","2013-09-09T06:00:00","2013-11-02T06:00:00","Moderate (10 - 30 mins)","Hardshoulder Closure 24hr. VRS p1 -p4 Replacements","Lane Closure","Planned Works","482464","156382","Firm","2013-05-09T14:30:13"
"2472391","M3","Hampshire","Jct 8 - Jct 4a (Mp 55/5- 59/5) Westbound","2013-09-09T06:00:00","2013-11-02T06:00:00","Moderate (10 - 30 mins)","Hardshoulder Closure 24hr. VRS p1 -p4 Replacements","Speed Restriction","Planned Works","482181","156314","Firm","2013-05-09T14:31:20"
"2472430","M3","Hampshire","Jct 4a - Jct 8 (Mp 63/5 - 59/5) Eastbound.","2013-09-09T06:00:00","2013-11-02T06:00:00","Moderate (10 - 30 mins)","Hardshoulder Closure 24hr. VRS p1 -p4 Replacements","Lane Closure","Planned Works","478748","155555","Firm","2013-05-09T14:32:52"
"2472514","M3","Hampshire","Jct 4a - Jct 8 (Mp 67/5 - 71/5) Eastbound","2013-09-09T06:00:00","2013-11-02T06:00:00","Moderate (10 - 30 mins)","Hardshoulder Closure 24hr. VRS p1 -p4 Replacements","Lane Closure","Planned Works","470856","152521","Firm","2013-05-09T14:45:20"
"2472516","M3","Hampshire","Jct 4a - Jct 8 (Mp 67/5 - 71/5) Westbound","2013-09-09T06:00:00","2013-11-02T06:00:00","Moderate (10 - 30 mins)","Hardshoulder Closure 24hr. VRS p1 -p4 Replacements","Lane Closure","Planned Works","470884","152501","Firm","2013-05-09T14:44:13"
"2472519","M3","Hampshire","Jct 4a - Jct 8 (Mp 71/5 - 75/5) Westbound","2013-09-09T06:00:00","2013-11-02T06:00:00","Moderate (10 - 30 mins)","Hardshoulder Closure 24hr. VRS p1 -p4 Replacements","Lane Closure","Planned Works","466976","151830","Firm","2013-05-09T14:43:10"
"2472529","M3","Hampshire","Jct 4a - Jct 8 (Mp 71/5 - 75/5) Eastbound","2013-09-09T06:00:00","2013-11-02T06:00:00","Moderate (10 - 30 mins)","Hardshoulder Closure 24hr. VRS p1 -p4 Replacements","Lane Closure","Planned Works","467015","151857","Firm","2013-05-09T14:41:59"
"2472532","M3","Hampshire","Jct 4a - Jct 8 (Mp 75/5 - 79/5 ) Eastbound","2013-09-09T06:00:00","2013-11-02T06:00:00","Moderate (10 - 30 mins)","Hardshoulder Closure 24hr. VRS p1 -p4 Replacements","Lane Closure","Planned Works","463489","150038","Firm","2013-05-09T14:40:55"
"2472539","M3","Hampshire","Jct 4a - Jct 8 (Mp 79/5 - 83/5) Westbound","2013-09-09T06:00:00","2013-11-02T06:00:00","Moderate (10 - 30 mins)","Hardshoulder Closure 24hr. VRS p1 -p4 Replacements","Lane Closure","Planned Works","460130","147479","Firm","2013-05-09T14:37:58"
"2472541","M3","Hampshire","Jct 4a - Jct 8 (Mp 79/5 - 83/5) Eastbound","2013-09-09T06:00:00","2013-11-02T06:00:00","Moderate (10 - 30 mins)","Hardshoulder Closure 24hr. VRS p1 -p4 Replacements","Lane Closure","Planned Works","460058","147471","Firm","2013-05-09T14:37:06"
"2499541","M3","Hampshire","Jct13 offslip South Bound","2013-08-21T21:45:00","2013-08-31T06:00:00","Slight (less than 10 mins)","Closed Follow Diversion 2200 to 0600. White Lining.","Carriageway Closure","Planned Works","444057","119584","Firm","2013-08-23T11:49:42"
