"201304BB13098","350073","464822","-2.76457","54.076894","4","3","2","1","41496","7","0.3854166666666667","76","E10000017","6","0","1","30","2","4","6","0","0","0","1","1","1","0","0","2","1","E01025108"
"201304BC13167","335590","440550","-2.980759","53.857162","4","1","1","1","41531","7","0.7902777777777777","85","E10000017","3","585","6","40","1","4","3","588","0","8","1","1","1","0","0","1","1","E01025545"
"201304CA13190","358559","418316","-2.628583","53.659677","4","3","2","1","41528","4","0.39375","73","E10000017","3","6","3","30","9","4","6","0","0","0","1","1","1","0","0","1","1","E01024933"
"201304CA13203","361802","414105","-2.578993","53.622076","4","3","2","1","41553","1","0.5104166666666666","73","E10000017","6","0","6","30","0","-1","-1","0","0","0","1","1","1","0","0","2","1","E01024918"
"201304CC13001","362650","423810","-2.567343","53.709365","4","3","3","1","41529","5","0.3020833333333333","73","E10000017","3","674","6","60","0","-1","-1","0","0","0","1","2","2","0","0","2","1","E01024921"
"201304CJ13181","345008","404988","-2.831267","53.538639","4","3","4","4","41529","5","0.3541666666666667","84","E10000017","3","570","6","40","1","2","3","570","0","0","1","2","2","0","0","2","1","E01025479"
"201304CL13179","355460","421460","-2.675927","53.687679","4","3","2","1","41525","1","0.5368055555555555","83","E10000017","3","49","6","40","6","2","4","5248","2","5","1","1","2","0","0","2","1","E01032928"
"201304DF13091","353015","433657","-2.714806","53.797085","4","3","2","1","41506","3","0.5520833333333334","79","E10000017","3","6","3","40","0","-1","-1","0","0","0","1","1","1","0","0","1","1","E01025302"
"201304DF13093","352593","434600","-2.721357","53.805522","4","3","2","1","41509","6","0.5833333333333334","79","E10000017","3","6","6","30","9","4","3","6","0","0","1","1","1","0","0","2","1","E01025277"
"201304DL13077","352792","433536","-2.718172","53.795977","4","3","3","1","41528","4","0.2604166666666667","79","E10000017","6","0","6","20","6","4","6","0","0","0","1","1","1","0","0","1","1","E01025259"
"201304EA13267","369860","424770","-2.458208","53.718461","4","3","3","1","41526","2","0.7881944444444445","70","E06000008","6","0","6","40","3","4","6","0","0","0","1","1","2","0","0","1","1","E01012602"
"201304EL13165","377931","430158","-2.336294","53.767294","4","2","2","1","41612","4","0.5569444444444445","75","E10000017","3","679","2","40","3","4","6","0","0","0","1","1","2","0","0","1","1","E01025051"
